"PROVINCIA","grupo_etario","value"
"Buenos Aires","De 0 a 19 años",5575989
"Catamarca","De 0 a 19 años",138176
"Chaco","De 0 a 19 años",434377
"Chubut","De 0 a 19 años",203515
"Ciudad Autónoma de Buenos Aires","De 0 a 19 años",797321
"Córdoba","De 0 a 19 años",1142768
"Corrientes","De 0 a 19 años",386472
"Entre Rios","De 0 a 19 años",441716
"Formosa","De 0 a 19 años",222140
"Jujuy","De 0 a 19 años",268016
"La Pampa","De 0 a 19 años",109005
"La Rioja","De 0 a 19 años",127199
"Mendoza","De 0 a 19 años",646169
"Misiones","De 0 a 19 años",473572
"Neuquen","De 0 a 19 años",221587
"Río Negro","De 0 a 19 años",239309
"Salta","De 0 a 19 años",530534
"San Juan","De 0 a 19 años",266874
"San Luis","De 0 a 19 años",163996
"Santa Cruz","De 0 a 19 años",129753
"Santa Fe","De 0 a 19 años",1043988
"Santiago del Estero","De 0 a 19 años",353018
"Tierra del Fuego","De 0 a 19 años",57288
"Tucumán","De 0 a 19 años",581408
"Buenos Aires","De 20 a 39 años",5116515
"Catamarca","De 20 a 39 años",127201
"Chaco","De 20 a 39 años",382086
"Chubut","De 20 a 39 años",190635
"Ciudad Autónoma de Buenos Aires","De 20 a 39 años",866401
"Córdoba","De 20 a 39 años",1142267
"Corrientes","De 20 a 39 años",349684
"Entre Rios","De 20 a 39 años",411819
"Formosa","De 20 a 39 años",182744
"Jujuy","De 20 a 39 años",238067
"La Pampa","De 20 a 39 años",103719
"La Rioja","De 20 a 39 años",130233
"Mendoza","De 20 a 39 años",597196
"Misiones","De 20 a 39 años",391836
"Neuquen","De 20 a 39 años",201026
"Río Negro","De 20 a 39 años",224635
"Salta","De 20 a 39 años",439837
"San Juan","De 20 a 39 años",235107
"San Luis","De 20 a 39 años",154012
"Santa Cruz","De 20 a 39 años",118027
"Santa Fe","De 20 a 39 años",1073240
"Santiago del Estero","De 20 a 39 años",304318
"Tierra del Fuego","De 20 a 39 años",57132
"Tucumán","De 20 a 39 años",528931
"Buenos Aires","De 40 a 59 años",4003370
"Catamarca","De 40 a 59 años",91948
"Chaco","De 40 a 59 años",241283
"Chubut","De 40 a 59 años",143873
"Ciudad Autónoma de Buenos Aires","De 40 a 59 años",753224
"Córdoba","De 40 a 59 años",845796
"Corrientes","De 40 a 59 años",229693
"Entre Rios","De 40 a 59 años",309261
"Formosa","De 40 a 59 años",121967
"Jujuy","De 40 a 59 años",166383
"La Pampa","De 40 a 59 años",83144
"La Rioja","De 40 a 59 años",85472
"Mendoza","De 40 a 59 años",429187
"Misiones","De 40 a 59 años",249424
"Neuquen","De 40 a 59 años",154748
"Río Negro","De 40 a 59 años",172996
"Salta","De 40 a 59 años",284540
"San Juan","De 40 a 59 años",166466
"San Luis","De 40 a 59 años",113765
"Santa Cruz","De 40 a 59 años",82447
"Santa Fe","De 40 a 59 años",807565
"Santiago del Estero","De 40 a 59 años",196774
"Tierra del Fuego","De 40 a 59 años",41786
"Tucumán","De 40 a 59 años",350411
"Buenos Aires","De 60 a 79 años",2346634
"Catamarca","De 60 a 79 años",48828
"Chaco","De 60 a 79 años",125598
"Chubut","De 60 a 79 años",68956
"Ciudad Autónoma de Buenos Aires","De 60 a 79 años",511513
"Córdoba","De 60 a 79 años",517846
"Corrientes","De 60 a 79 años",130970
"Entre Rios","De 60 a 79 años",184552
"Formosa","De 60 a 79 años",66576
"Jujuy","De 60 a 79 años",83464
"La Pampa","De 60 a 79 años",51192
"La Rioja","De 60 a 79 años",43001
"Mendoza","De 60 a 79 años",262664
"Misiones","De 60 a 79 años",125494
"Neuquen","De 60 a 79 años",74716
"Río Negro","De 60 a 79 años",93357
"Salta","De 60 a 79 años",143111
"San Juan","De 60 a 79 años",95721
"San Luis","De 60 a 79 años",64426
"Santa Cruz","De 60 a 79 años",31119
"Santa Fe","De 60 a 79 años",495474
"Santiago del Estero","De 60 a 79 años",104398
"Tierra del Fuego","De 60 a 79 años",15733
"Tucumán","De 60 a 79 años",198588
"Buenos Aires","De 80 a 99 años",495175
"Catamarca","De 80 a 99 años",9194
"Chaco","De 80 a 99 años",21036
"Chubut","De 80 a 99 años",11910
"Ciudad Autónoma de Buenos Aires","De 80 a 99 años",145465
"Córdoba","De 80 a 99 años",111007
"Corrientes","De 80 a 99 años",23747
"Entre Rios","De 80 a 99 años",38306
"Formosa","De 80 a 99 años",11666
"Jujuy","De 80 a 99 años",14847
"La Pampa","De 80 a 99 años",11279
"La Rioja","De 80 a 99 años",7558
"Mendoza","De 80 a 99 años",54742
"Misiones","De 80 a 99 años",20809
"Neuquen","De 80 a 99 años",11875
"Río Negro","De 80 a 99 años",17178
"Salta","De 80 a 99 años",26175
"San Juan","De 80 a 99 años",16952
"San Luis","De 80 a 99 años",12019
"Santa Cruz","De 80 a 99 años",4327
"Santa Fe","De 80 a 99 años",115187
"Santiago del Estero","De 80 a 99 años",19625
"Tierra del Fuego","De 80 a 99 años",1484
"Tucumán","De 80 a 99 años",35055
