"REGION","DISTRITO","CASOS","MUERTOS","POBLACION","TIPO_CAMA","CANTIDAD_CAMAS","CANTIDAD_MEDICOS"
"PAMPEANA","Buenos Aires",741,39,17196396,"Aislamiento y casos leves",37337,46223
"PAMPEANA","Buenos Aires",741,39,17196396,"Casos graves",57151,46223
"PAMPEANA","Buenos Aires",741,39,17196396,"Casos graves Neo",2180,46223
"PAMPEANA","CABA",3046,141,3068043,"Aislamiento y casos leves",16173,48447
"PAMPEANA","CABA",3046,141,3068043,"Casos graves",5095,48447
"PAMPEANA","CABA",3046,141,3068043,"Casos graves Neo",1000,48447
"NOA","Catamarca",2,0,408152,"Aislamiento y casos leves",1444,1042
"NOA","Catamarca",2,0,408152,"Casos graves",539,1042
"NOA","Catamarca",2,0,408152,"Casos graves Neo",185,1042
"NEA","Chaco",73,8,1180477,"Aislamiento y casos leves",2814,2656
"NEA","Chaco",73,8,1180477,"Casos graves",1421,2656
"NEA","Chaco",73,8,1180477,"Casos graves Neo",195,2656
"PATAGONIA","Chubut",136,6,598380,"Aislamiento y casos leves",1870,1794
"PATAGONIA","Chubut",136,6,598380,"Casos graves",457,1794
"PATAGONIA","Chubut",136,6,598380,"Casos graves Neo",74,1794
"NEA","Corrientes",41,0,1101084,"Aislamiento y casos leves",3178,3470
"NEA","Corrientes",41,0,1101084,"Casos graves",583,3470
"NEA","Corrientes",41,0,1101084,"Casos graves Neo",177,3470
"PAMPEANA","Córdoba",918,55,3683937,"Aislamiento y casos leves",9311,16283
"PAMPEANA","Córdoba",918,55,3683937,"Casos graves",13360,16283
"PAMPEANA","Córdoba",918,55,3683937,"Casos graves Neo",402,16283
"PAMPEANA","Entre Rios",123,0,1360443,"Aislamiento y casos leves",4048,3977
"PAMPEANA","Entre Rios",123,0,1360443,"Casos graves",1941,3977
"PAMPEANA","Entre Rios",123,0,1360443,"Casos graves Neo",88,3977
"NEA","Formosa",12,0,595129,"Aislamiento y casos leves",1910,1093
"NEA","Formosa",12,0,595129,"Casos graves",171,1093
"NEA","Formosa",12,0,595129,"Casos graves Neo",74,1093
"NOA","Jujuy",3,0,753891,"Aislamiento y casos leves",2390,1674
"NOA","Jujuy",3,0,753891,"Casos graves",397,1674
"NOA","Jujuy",3,0,753891,"Casos graves Neo",113,1674
"PAMPEANA","La Pampa",6,0,352378,"Aislamiento y casos leves",887,1058
"PAMPEANA","La Pampa",6,0,352378,"Casos graves",204,1058
"PAMPEANA","La Pampa",6,0,352378,"Casos graves Neo",65,1058
"CUYO","La Rioja",5,0,383220,"Aislamiento y casos leves",1411,1444
"CUYO","La Rioja",5,0,383220,"Casos graves",350,1444
"CUYO","La Rioja",5,0,383220,"Casos graves Neo",113,1444
"CUYO","Mendoza",223,2,1949293,"Aislamiento y casos leves",3466,6675
"CUYO","Mendoza",223,2,1949293,"Casos graves",3440,6675
"CUYO","Mendoza",223,2,1949293,"Casos graves Neo",292,6675
"NEA","Misiones",35,0,1233177,"Aislamiento y casos leves",2891,2208
"NEA","Misiones",35,0,1233177,"Casos graves",1059,2208
"NEA","Misiones",35,0,1233177,"Casos graves Neo",209,2208
"PATAGONIA","Neuquen",10,0,646784,"Aislamiento y casos leves",2005,2482
"PATAGONIA","Neuquen",10,0,646784,"Casos graves",1013,2482
"PATAGONIA","Neuquen",10,0,646784,"Casos graves Neo",121,2482
"PATAGONIA","Río Negro",103,4,728403,"Aislamiento y casos leves",1835,2513
"PATAGONIA","Río Negro",103,4,728403,"Casos graves",877,2513
"PATAGONIA","Río Negro",103,4,728403,"Casos graves Neo",133,2513
"NOA","Salta",31,4,1388532,"Aislamiento y casos leves",3584,3015
"NOA","Salta",31,4,1388532,"Casos graves",771,3015
"NOA","Salta",31,4,1388532,"Casos graves Neo",218,3015
"CUYO","San Juan",39,3,764464,"Aislamiento y casos leves",1548,2174
"CUYO","San Juan",39,3,764464,"Casos graves",1412,2174
"CUYO","San Juan",39,3,764464,"Casos graves Neo",108,2174
"CUYO","San Luis",0,0,495629,"Aislamiento y casos leves",1189,1324
"CUYO","San Luis",0,0,495629,"Casos graves",151,1324
"CUYO","San Luis",0,0,495629,"Casos graves Neo",81,1324
"PATAGONIA","Santa Cruz",2,0,347593,"Aislamiento y casos leves",947,1005
"PATAGONIA","Santa Cruz",2,0,347593,"Casos graves",189,1005
"PATAGONIA","Santa Cruz",2,0,347593,"Casos graves Neo",51,1005
"PAMPEANA","Santa Fe",264,9,3481514,"Aislamiento y casos leves",8268,15622
"PAMPEANA","Santa Fe",264,9,3481514,"Casos graves",9837,15622
"PAMPEANA","Santa Fe",264,9,3481514,"Casos graves Neo",455,15622
"NOA","Santiago del Estero",5,0,958251,"Aislamiento y casos leves",2884,1708
"NOA","Santiago del Estero",5,0,958251,"Casos graves",368,1708
"NOA","Santiago del Estero",5,0,958251,"Casos graves Neo",154,1708
"PATAGONIA","Tierra del Fuego",253,11,164944,"Aislamiento y casos leves",291,703
"PATAGONIA","Tierra del Fuego",253,11,164944,"Casos graves",47,703
"PATAGONIA","Tierra del Fuego",253,11,164944,"Casos graves Neo",22,703
"NOA","Tucumán",21,0,1654388,"Aislamiento y casos leves",3879,5504
"NOA","Tucumán",21,0,1654388,"Casos graves",2111,5504
"NOA","Tucumán",21,0,1654388,"Casos graves Neo",331,5504
